0.2508	0.2869	one
0.6071	0.7902	of
0.7137	0.8647	a
0.0324	0.0463	kind
0.1223	0.0448	money
0.0052	0.0042	maker
0.0449	0.1154	try
0.3856	0.6938	it
0.6123	0.673	for
0.2696	0.1273	free
0.6604	0.5445	from
0.1975	0.1374	nobody
0.2048	0.1576	sun
0.1964	0.1638	sep
0.2205	0.1481	content
0.2476	0.1691	type
0.2424	0.1614	text
0.0366	0.0359	html
0.1881	0.1211	charset
0.1108	0.0718	iso
0.2194	0.1071	transfer
0.1902	0.1027	encoding
0.0825	0.0917	bit
0.0021	0.0003	consantly
0.1129	0.1125	being
0.0031	0.0006	bombarded
0.3929	0.3496	by
0.1505	0.3513	so
0.0585	0.0454	called
0.0564	0.0507	making
0.0376	0.0546	systems
0.3699	0.6602	that
0.0021	0.0003	teases
0.6385	0.5914	you
0.4754	0.6522	with
0.093	0.022	limited
0.2288	0.0855	information
0.6698	0.7822	and
0.1672	0.2718	when
0.1338	0.1347	its
0.4431	0.3736	all
0.0408	0.0917	said
0.0219	0.068	done
0.0084	0.0062	blind
0.0084	0.0036	sides
0.0021	0.0027	demanding
0.5329	0.3795	your
0.0752	0.0154	credit
0.0512	0.0359	card
0.0031	0.0003	upfront
0.5569	0.6964	in
0.1484	0.2766	some
0.0031	0.0006	slick
0.1149	0.1763	way
0.1223	0.1439	after
0.6855	0.8789	the
0.0376	0.0469	fact
0.0481	0.0875	yes
0.2257	0.6988	i
0.0481	0.1122	too
0.256	0.3178	was
0.348	0.4294	as
0.0073	0.0033	skeptical
0.1954	0.2593	about
0.1306	0.1193	such
0.0794	0.0217	offers
0.1108	0.0715	internet
0.0669	0.0377	general
0.0073	0.0033	hype
0.0178	0.0858	probably
0.5057	0.443	are
0.0021	0.0018	fortunate
0.0972	0.2499	me
0.1254	0.3418	my
0.0366	0.0398	main
0.1473	0.0591	business
0.0021	0.0006	slowed
0.0627	0.0786	down
0.4044	0.5107	have
0.1964	0.1964	been
0.0345	0.0261	self
0.0188	0.0039	employed
0.1285	0.0466	life
0.0094	0.0234	looked
0.0334	0.1329	something
0.7858	0.8884	to
0.0167	0.0092	fit
0.0063	0.0027	lifestyle
0.1944	0.2309	other
0.0261	0.0059	assist
0.024	0.0107	paying
0.0251	0.003	bills
0.0867	0.1053	without
0.0428	0.0769	working
0.0104	0.0261	myself
0.0261	0.0157	death
0.4242	0.4671	or
0.0031	0.0006	loosing
0.3302	0.265	more
0.1129	0.2095	then
0.5904	0.6199	this
0.0146	0.0033	proposal
0.2675	0.232	new
0.2288	0.262	any
0.0522	0.0098	investment
0.1055	0.0665	great
